"filename","source","MISC"
"tlg4026.tlg001.1st1K-grc1_oga020_src","Anonymi in Aristotelis Artem Rhetoricam, Arist.art.rhet.com._1.2","t_1|t_5|ref=Arist.art.rhet.com._1.2"
"tlg4026.tlg002.1st1K-grc1_oga020_src","Anonymi in Aristotelis Artem Rhetoricam, fr.com.Arist.rhet._15","t_1|0|ref=fr.com.Arist.rhet._15"
"tlg4026.tlg003.1st1K-grc1_oga020_src","Anonymi in Aristotelis Artem Rhetoricam, fr.paraph.Arist.rhet._1","t_1|e_1|ref=fr.paraph.Arist.rhet._1"


"tlg4027.tlg001.1st1K-grc1_oga020_src","Anonymi In Aristotelis Categorias, Paraphrasis Categoriarum urn:cts:greekLit:tlg4027.tlg001.1st1K-grc1.preface","t_1|t_2|ref=Paraph.categ._preface"

"tlg4033.tlg003.1st1K-grc1_oga020_src","Anonymi In Aristotelis Ethica Nicomachea, eth.Nicom.par._1","t_1|t_2|ref=eth.Nicom.par._1"


"tlg4102.tlg003.1st1K-grc1_oga020_src","Catenae (Novum Testamentum), Supplementum et varietas lectionis ad commentarium Chrysostomi in evangelium sancti Matthaei (e cod. Oxon. Bodl. Auct. T.1.4) urn:cts:greekLit:tlg4102.tlg003.1st1K-grc1.3.5.13","t_1|e_1|ref=Sup.Chrys.Mt.com._3.5.13"

"tlg4102.tlg006.1st1K-grc1_oga020_src","Catenae (Novum Testamentum), Supplementum et varietas lectionis ad catenam in evangelium sancti Lucae (e cod. Oxon. Bodl. Laud. 33) urn:cts:greekLit:tlg4102.tlg006.1st1K-grc1.2.6.1","t_1|e_1|ref=Cat.Lc._2.6.1"
"tlg4102.tlg007.1st1K-grc1_oga020_src","Catenae (Novum Testamentum), Supplementum Et Varietas Lectionis Ad Catenam In Evangelium Sancti Joannis (e cod. Bodl. B.) urn:cts:greekLit:tlg4102.tlg007.1st1K-grc1.1.178.9","t_1|0|ref=Cat.Jo._1.178.9"

"tlg4102.tlg011.1st1K-grc1_oga020_src","Catenae (Novum Testamentum), Catena In Epistulam Ad Romanos (Typus Monacensis) (E Cod. Monac. gr. 412) 7.7.verse","t_1|t_3|ref=Cat.Rom._"

"tlg4174.tlg001.1st1K-grc1_oga020_src","Paraphr.Dion.Per._, Paraphrases in Dioynsium Periegetam 1","t_1|0|ref=Paraphr.Dion.Per._1"

"tlg4193.tlg012.1st1K-grc1_oga020_src","Anonymi In Aristotelis Sophisticos Elenchos, Arist.Soph.Paraphr._pr","t_1|e_2|ref=Arist.Soph.Paraphr._pr"

"tlg5019.tlg001.1st1K-grc1_oga020_src","Scholia in Dionysium Periegetam, Sch.Dion.Byz._vita","t_1|0|ref=Sch.Dion.Byz._vita"
"tlg5019.tlg002.1st1K-grc1_oga020_src","Scholia in Dionysium Periegetam, Sch.Dion.Periieg._vita","t_1|t_3|ref=Sch.Dion.Periieg._vita"

"tlg5029.tlg001.1st1K-grc1_oga020_src","Sch.Luc._, Scholia in Lucianum epigr.1","t_1|t_3|ref=Sch.Luc._epigr.1"

"tlg9004.tlg001.opp-grc1_oga020_src","Anonymi In Aristotelis Librum Alterum Analyticorum Posteriorum, Anon.Post.Lib._1","t_1|e_1|ref=Anon.Post.Lib._1"

"tlg9006.tlg001.1st1K-grc1_oga020_src","Gregory II, of Cyprus, Patriarch of Constantinople, Paroem._1.1","t_1|t_4|ref=Paroem._1.1"
"tlg9006.tlg016.1st1K-grc1_oga020_src","Gregory II, of Cyprus, Patriarch of Constantinople, Declam._1","t_1|t_2|ref=Declam._1"
"tlg9007.tlg001.1st1K-grc1_oga020_src","App.Prov._, Appendix Proverbiorum 1.1","t_1|0|ref=App.Prov._1.1"
"tlg9010.tlg001.1st1K-grc1_oga020_src","Suda, Suid._1.A.1a","t_1|0|ref=Suid._1.A.1a"
