"cts_urn","abbv","title"
"tlg0007.tlg021","Pelop.","Pelopidas"
"tlg0007.tlg022","Marcel.","Marcellus"
"tlg0007.tlg023","Cp.Pelop.Marcel.","Comparison of Pelopidas and Marcellus"
"tlg0007.tlg024","Arist.","Aristides"
"tlg0007.tlg025","Marc.Cat.","Marcus Cato"
"tlg0007.tlg026","Cp.Arist.Cato","Comparison of Aristides and Marcus Cato"
"tlg0007.tlg027","Philop.","Philopoemen"
"tlg0007.tlg028","T.Flamin.","Titus Flamininus"
"tlg0007.tlg029","Cp.Philop.Tit.","Comparison of Philopoemen and Titus"
"tlg0007.tlg030","Pyrr.","Pyrrhus"
"tlg0007.tlg031","C.Mar.","Caius Marius"
"tlg0007.tlg032","Lysand.","Lysander"
"tlg0007.tlg033","Sul.","Sulla"
"tlg0007.tlg034","Cp.Lys.Sul.","Comparison of Lysander and Sulla"
"tlg0007.tlg035","Cim.","Cimon"
"tlg0007.tlg036","Lucul.","Lucullus"
"tlg0007.tlg037","Cp.Luc.Cim.","Comparison of Lucullus and Cimon"
"tlg0007.tlg038","Nicias","Nicias"
"tlg0007.tlg039","Crass.","Crassus"
"tlg0007.tlg040","Cp.Nic.Cras.","Comparison of Nicias and Crassus"
"tlg0007.tlg041","Eumen.","Eumenes"
"tlg0007.tlg042","Sertor.","Sertorius"
"tlg0007.tlg043","Cp.Sert.Eum.","Comparison of Sertorius and Eumenes"
"tlg0007.tlg044","Agesil.","Agesilaus"
"tlg0007.tlg045","Pomp.","Pompey"
"tlg0007.tlg046","Cp.Agesil.Pomp.","Comparison of Agesilaus and Pompey"
"tlg0007.tlg047","Alex.","Alexander"
"tlg0007.tlg048","Caes.","Caesar"
"tlg0007.tlg049","Phoc.","Phocion"
"tlg0007.tlg050","Cat.min.","Cato the Younger"
"tlg0007.tlg051","Ag.Cleom.","Agis and Cleomenes"
"tlg0007.tlg052","Tiber.c.Grac.","Tiberius and Caius Gracchus"
"tlg0007.tlg053","Cp.Ag.Cleom.Grac.","Comparison of Agis and Cleomenes and the Gracchi"
"tlg0007.tlg054","Demosth.","Demosthenes"
"tlg0007.tlg055","Cic.","Cicero"
"tlg0007.tlg056","Cp.Dem.Cic.","Comparison of Demosthenes and Cicero"
"tlg0007.tlg057","Demetr.","Demetrius"
"tlg0007.tlg058","Anton.","Antony"
"tlg0007.tlg059","Cp.Demetr.Ant.","Comparison of Demetrius and Antony"
"tlg0007.tlg060","Dion","Dion"
"tlg0007.tlg061","Brut.","Brutus"
"tlg0007.tlg062","Cp.Dion.Brut.","Comparison of Dion and Brutus"
"tlg0007.tlg063","Arat.","Aratus"
"tlg0007.tlg064","Artax.","Artaxerxes"
"tlg0007.tlg065","Galb.","Galba"
"tlg0007.tlg066","Otho","Otho"
"tlg0007.tlg067","liber.educ.","De liberis educandis"
"tlg0007.tlg068","adolesc.poet.","Quomodo adolescens poetas audire debeat"
"tlg0007.tlg069","rect.ratio.aud.","De recta ratione audiendi"
"tlg0007.tlg070","adul.amic.","Quomodo adulator ab amico internoscatur"
"tlg0007.tlg071","virt.sent.","Quomodo quis suos in virtute sentiat profectus"
